YEAR,MONTH,DAY,RRG13
1942,11,10,0.8
1942,11,23,1.05
1942,11,29,0.89
1942,12,1,1.14
1942,12,3,0.36
1942,12,4,0.5
1942,12,5,1.4
1942,12,6,0.2
1942,12,7,1.02
1942,12,12,0.1
1942,12,15,0.02
1942,12,16,0.31
1942,12,20,0.06
1942,12,21,0.01
1942,12,22,1.03
1942,12,25,0.15
1942,12,27,2.34
1942,12,28,3.06
1942,12,29,3.15
1943,1,7,0.27
1943,1,8,0.2
1943,1,14,0.28
1943,1,15,0.24
1943,1,17,0.07
1943,1,18,3.25
1943,1,19,0.06
1943,1,25,0.23
1943,1,26,1.49
1943,1,27,1.09
1943,1,28,0.26
1943,2,3,0.05
1943,2,4,2.17
1943,2,5,2.47
1943,2,6,0.17
1943,2,10,0.01
1943,2,11,0.45
1943,2,21,0.15
1943,3,1,0.01
1943,3,2,0.1
1943,3,4,0
1943,3,5,0.72
1943,3,6,0.87
1943,3,11,1.11
1943,3,12,0.5
1943,3,13,0.74
1943,3,16,1.42
1943,3,17,0.75
1943,3,18,0.14
1943,3,19,0.86
1943,3,20,0.93
1943,3,21,1.62
1943,3,26,0.44
1943,3,27,0.46
1943,4,1,0.22
1943,4,12,1.09
1943,4,13,0.14
1943,4,18,2.02
1943,4,19,2.11
1943,4,22,0.01
1943,4,23,1.3
1943,4,24,0.03
1943,4,30,0.19
1943,5,9,0.02
1943,5,10,0.3
1943,5,11,1.88
1943,5,17,0.19
1943,5,20,0.03
1943,5,23,0.36
1943,5,24,0.94
1943,5,25,0.7
1943,5,26,0.03
1943,6,5,0.37
1943,6,7,0.34
1943,6,8,0.71
1943,6,10,0.18
1943,6,12,0.06
1943,6,13,1.31
1943,6,14,1.22
1943,6,15,0.04
1943,6,21,0.09
1943,6,22,0.33
1943,6,23,0.55
1943,6,25,0.05
1943,6,28,0.86
1943,6,29,0.17
1943,6,30,0.17
1943,7,1,0.66
1943,7,2,1.33
1943,7,3,0.48
1943,7,4,0.05
1943,7,5,2.45
1943,7,6,0.25
1943,7,7,0.16
1943,7,9,0.28
1943,7,11,0.29
1943,7,12,0.94
1943,7,13,0.45
1943,7,15,0.15
1943,7,26,1.42
1943,7,27,0.38
1943,7,28,0.6
1943,7,29,0.43
1943,7,30,2.06
1943,7,31,0.05
1943,8,1,0.03
1943,8,5,0.48
1943,8,6,0.1
1943,8,7,0.79
1943,8,9,0.12
1943,8,10,0.89
1943,8,11,0.05
1943,8,12,3.48
1943,8,13,0.26
1943,8,17,0.61
1943,9,5,0.59
1943,9,6,0.06
1943,9,7,0.11
1943,9,19,1.98
1943,9,20,1.81
1943,9,21,0.36
1943,9,22,0.05
1943,10,13,0.24
1943,10,14,0.49
1943,10,15,0.9
1943,10,24,0.4
1943,10,27,1.13
1943,11,1,0.04
1943,11,2,0.27
1943,11,7,1
1943,11,8,1.06
1943,12,4,0.3
1943,12,6,0.52
1943,12,10,0.37
1943,12,24,0.01
1943,12,25,2.47
1943,12,26,0.67
1943,12,28,0.58
1944,1,2,1.63
1944,1,3,1.03
1944,1,8,0.52
1944,1,9,0.33
1944,1,14,0.51
1944,1,15,0.42
1944,1,26,0.08
1944,1,27,0.06
1944,1,28,0.02
1944,2,6,0.83
1944,2,8,0.76
1944,2,9,1.37
1944,2,11,1.13
1944,2,14,1.67
1944,2,16,0.02
1944,2,17,2.53
1944,2,19,0.13
1944,2,20,0.47
1944,2,22,0.95
1944,2,23,0.13
1944,2,25,0.72
1944,2,26,1.99
1944,2,27,0.75
1944,2,28,0
1944,2,29,0.21
1944,3,4,0.19
1944,3,6,2
1944,3,7,0.14
