"Ochric epipedon"|0|0|0|3|13|25|3|13|25|"24825689"|"15301570"
"Argillic horizon"|3|13|25|51|68|102|48|55|77|"24825689"|"15301568"
"Paralithic contact"|51|68|102|51|68|102|0|0|0|"24825689"|"15301569"
"Ochric epipedon"|0|0|0|7|13|15|7|13|15|"24825690"|"15301572"
"Argillic horizon"|7|13|15|30|81|90|23|68|77|"24825690"|"15301571"
"Cambic horizon"|5|13|17|38|78|102|33|65|85|"24825691"|"15301574"
"Ochric epipedon"|0|0|0|5|13|17|5|13|17|"24825691"|"15301573"
"Cambic horizon"|5|17|19|51|89|102|46|72|85|"24825692"|"15301576"
"Ochric epipedon"|0|0|0|5|17|19|5|17|17|"24825692"|"15301575"
"Paralithic contact"|51|89|102|51|89|102|0|0|0|"24825692"|"15301577"
"Cambic horizon"|25|38|51|102|119|142|77|81|91|"24825693"|"15301579"
"Umbric epipedon"|0|0|0|25|38|51|25|38|51|"24825693"|"15301578"
"Cambic horizon"|25|28|51|102|152|180|77|124|129|"24825694"|"15301581"
"Umbric epipedon"|0|0|0|25|28|51|25|28|51|"24825694"|"15301580"
"Cambic horizon"|25|46|51|51|86|152|26|40|101|"24825798"|"15301695"
"Umbric epipedon"|0|0|0|25|46|51|25|46|51|"24825798"|"15301694"
"Cambic horizon"|5|17|19|51|89|102|46|72|85|"24825799"|"15301697"
"Ochric epipedon"|0|0|0|5|17|19|5|17|17|"24825799"|"15301696"
"Paralithic contact"|51|89|102|51|89|102|0|0|0|"24825799"|"15301698"
"Cambic horizon"|5|13|17|38|78|102|33|65|85|"24825800"|"15301700"
"Ochric epipedon"|0|0|0|5|13|17|5|13|17|"24825800"|"15301699"
"Ochric epipedon"|0|0|0|3|13|25|3|13|25|"24825801"|"15301701"
"Argillic horizon"|3|13|25|51|68|102|48|55|77|"24825801"|"15301702"
"Paralithic contact"|51|68|102|51|68|102|0|0|0|"24825801"|"15301703"
"Cambic horizon"|25|38|51|102|119|142|77|81|91|"24825802"|"15301705"
"Umbric epipedon"|0|0|0|25|38|51|25|38|51|"24825802"|"15301704"
