"Bt2"||"B"||2||89|||107|||||0|0|0|0|0|3|87|96|98|73|91|96|54|74|85|31|46|56||55.8|||6.2|||9.9|||11.9|||16.8|||11|||17.7||||||||19|26.5|34||||0.5|0.75|1||||1.3|1.4|1.5||||1.37|1.47|1.53||4.24|9.18|14.11|0.13|0.16|0.19||||17.4|23.4|27|9.7|15.7|20.7|33|42|47|0|1.5|2.9|29|37|45|12|18|24|0|2|5|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0||||5.3|8.5|12.3||||4.5|5|5.5||||||||||6.7|11.4|16.7|||||||||||||||||||||"24825163"|"73894242"
"BC"||"BC"||||107|||122|||||0|0|0|0|1|3|85|95|98|63|88|96|45|69|79|20|34|41||63.3|||3.9|||11.2|||23.1|||20.7|||4.4|||19.7||||||||10|17|20||||0|0.25|0.5||||1.35|1.45|1.55||||1.42|1.52|1.59||14.12|28.23|42.34|0.08|0.12|0.15||||11.6|18.7|21.5|4.5|9.9|12.6|29|40|45|0|1.5|2.9|20|28|32|6|11|13|0|0|0|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0||||4.6|5.8|9.5||||4.5|5|5.5||||||||||4.4|7.2|11.9|||||||||||||||||||||"24825163"|"73894243"
"Ap"||"A"||||0|||10|||||0|0|0|0|0|3|91|98|98|80|94|96|53|73|77|34|50|54||49|||9.1|||10|||14.4|||12.2|||3.3|||30||||||||10|21|24||||1|3|6||||1.2|1.3|1.4||||1.26|1.36|1.42||4.24|9.18|14.11|0.1|0.13|0.15||||19.3|28.5|32|5.6|14.1|19.1|38|45|49|0|1.5|2.9|22|37|47|6|14|16|0|4|6|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0||||2.1|5.2|6.8||||4.5|5|5.5||||||||||3.6|11|17.7|||||||||||||||||||||"24825163"|"73894239"
"C"||"C"||||122|||203|||||0|0|0|0|3|15|72|89|98|56|81|96|42|64|87|12|21|36||81|||4.6|||10|||24.2|||29.8|||12.4|||10||||||||5|9|20||||0|0.25|0.5||||1.2|1.3|1.4||||1.27|1.37|1.43||42.35|91.74|141.14|0.04|0.06|0.08|11.1|18.1|25.2|7.3|13.3|21.1|1.9|4.9|12|29|43|51|0|1.5|2.9|16|21|32|2|5|13|0|0|0|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0||||1.5|4.7|9.5||||4.5|5|5.5||||||||||1.1|5.4|11.9|||||||||||||||||||||"24825163"|"73894241"
"Bt1"||"B"||1||10|||89|||||0|0|0|0|0|3|91|98|98|81|94|96|65|83|89|45|60|65||44|||4|||6|||8|||13.1|||12.9|||26||||||||22|30|34||||0.5|0.75|1||||1.3|1.4|1.5||||1.37|1.47|1.53||1.42|2.83|4.23|0.13|0.16|0.19||||25.1|31|32.9|11.9|18|20.7|36|43|47|0|1.5|2.9|32|40|45|15|21|24|3|9|13|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0||||5.3|8.5|12.3||||4.5|5|5.5||||||||||7.1|11.8|16.7|||||||||||||||||||||"24825163"|"73894240"
"C"||"C"||||0|||203|||||0|0|8|5|7|11|58|63|97|56|62|96|45|54|91|31|38|66||45.3|||4.5|||6.1|||8.1|||13.9|||12.7|||43.2||||||||5|11.5|18||||0|0.25|0.5||||1.4|1.53|1.65||||1.5|1.63|1.73||14.12|28.23|42.34|0.1|0.13|0.15||||10|16.3|25.8|1.8|5.2|11.1|21|28|42|0|1.5|2.9|16|23|30|2|7|12|0|0|5|".20"|".43"|0|0|0|0|0|0|0|0|0|0|0|0||||0.9|2.6|4.2||||3.6|4.5|5.5||||||||||2.1|5|7.7|||||||||||||||||||||"24825164"|"73894244"
"BC"||"BC"||||145|||203|||||0|0|1|0|3|10|86|93|98|65|83|96|54|75|95|40|57|74||38.5|||3.4|||4.9|||6.7|||12.1|||11.4|||36.5||||||||18|25|34||||0|0.5|1||||1.2|1.35|1.5||||1.27|1.42|1.57||4.24|9.18|14.11|0.06|0.09|0.12||||18.6|25.9|32|7.1|12.6|19.1|30|41|51|0|1.5|2.9|27|35|45|12|17|24|1|6|17|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0||||3.3|5.5|8.2||||3.6|4.6|5.5||||||||||4.1|8.7|14.1|||||||||||||||||||||"24825165"|"73894247"
"Ap"||"A"||||0|||28|||||0|0|0|0|1|5|82|93|98|65|85|96|43|78|93|30|61|74||34.2|||3|||4.2|||5.9|||10.8|||10.3|||32.3||||||||8|33.5|39||||0|1|2||||1.2|1.35|1.5||||1.27|1.42|1.57||1.42|2.83|4.23|0.14|0.17|0.19||||14.8|30.1|34.6|3.4|18.4|23.9|31|42|50|0|1.5|2.9|18|43|51|4|23|27|0|11|19|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0||||4.9|8|10.9||||3.6|5|6||||||||||3.8|12.1|18.5|||||||||||||||||||||"24825165"|"73894245"
"Bt"||"B"||||28|||145|||||0|0|0|0|1|10|86|93|98|65|82|96|55|78|96|44|64|85||26.1|||1.7|||2.2|||5|||9.4|||7.8|||28.9||||||||35|45|55||||0|0.5|1||||1.2|1.35|1.5||||1.41|1.56|1.64||0.43|0.92|1.41|0.12|0.15|0.17||||21.1|34.9|40|13.7|21.9|29.7|30|41|51|3|4.5|5.9|43|54|64|25|32|40|6|18|37|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||6.6|9|12||||3.6|4.6|5.5||||||||||9|14.1|19.8|||||||||||||||||||||"24825165"|"73894246"
"BCg"||"BC"||||127|||203|||||0|0|0|0|1|3|93|95|98|80|88|96|57|67|87|26|33|50||68.3|||4.5|||14.6|||18.1|||20.3|||10.8|||19.7||||||||7|12|26||||0|0.25|0.5||||1.35|1.45|1.55||||1.42|1.52|1.59||14.12|28.23|42.34|0.08|0.12|0.15||||11.5|16.1|24|3.7|7.1|16.1|34|40|45|0|1.5|2.9|18|23|37|3|7|18|0|0|5|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||0.9|2.7|5.7||||4.5|5|5.5||||||||||0.7|3.9|9.1|||||||||||||||||||||"24825166"|"73894250"
