"Cobbly"|"152155936"|"44716693"
"Very stony"|"152155045"|"44716467"
"Very cobbly"|"152159223"|"44717887"
"Gravelly"|"152160120"|"44718110"
"Gravelly"|"152155918"|"44716682"
"Gravelly"|"152158780"|"44717687"
"Gravelly"|"152160099"|"44718106"
"Gravelly"|"152159212"|"44717882"
"Gravelly"|"152159181"|"44717865"
"Gravelly"|"152154570"|"44716351"
"Gravelly"|"152153235"|"44715961"
"Very cobbly"|"152156361"|"44716833"
"Very gravelly"|"152159603"|"44717982"
"Very cobbly"|"152154380"|"44716289"
"Gravelly"|"152155873"|"44716661"
"Very stony"|"152157324"|"44717163"
"Gravelly"|"152157795"|"44717316"
"Gravelly"|"152159218"|"44717884"
"Cobbly"|"152155071"|"44716483"
"Very stony"|"152155042"|"44716464"
"Gravelly"|"152160656"|"44718273"
"Cobbly"|"152155892"|"44716668"
"Gravelly"|"152158209"|"44717449"
"Gravelly"|"152156343"|"44716824"
"Cobbly"|"152154391"|"44716299"
"Gravelly"|"152160131"|"44718114"
"Cobbly"|"152158185"|"44717434"
"Gravelly"|"152160750"|"44718306"
"Gravelly"|"152159207"|"44717880"
"Gravelly"|"152155899"|"44716673"
"Gravelly"|"152154443"|"44716320"
"Gravelly"|"152157383"|"44717188"
"Cobbly"|"152158405"|"44717528"
"Cobbly"|"152157344"|"44717173"
"Gravelly"|"152161011"|"44718431"
"Very cobbly"|"152154381"|"44716290"
"Gravelly"|"152158178"|"44717431"
"Gravelly"|"152158207"|"44717448"
"Gravelly"|"152158165"|"44717427"
"Very stony"|"152159197"|"44717871"
"Very stony"|"152158126"|"44717411"
"Gravelly"|"152156341"|"44716822"
"Very cobbly"|"152156010"|"44716715"
"Cobbly"|"152156028"|"44716725"
"Very cobbly"|"152160763"|"44718315"
"Very bouldery"|"152158749"|"44717673"
"Cobbly"|"152155840"|"44716645"
"Cobbly"|"152158759"|"44717681"
"Stony"|"152159233"|"44717893"
"Very cobbly"|"152157331"|"44717170"
"Gravelly"|"152155548"|"44716578"
"Gravelly"|"152157780"|"44717315"
"Gravelly"|"152156339"|"44716821"
"Gravelly"|"152155851"|"44716651"
"Very cobbly"|"152158747"|"44717671"
"Cobbly"|"152159222"|"44717886"
"Gravelly"|"152157342"|"44717172"
"Gravelly"|"152153568"|"44716102"
"Gravelly"|"152158384"|"44717514"
"Very stony"|"152159196"|"44717870"
"Cobbly"|"152157261"|"44717133"
"Gravelly"|"152160774"|"44718324"
"Extremely gravelly"|"152158394"|"44717521"
"Gravelly"|"152160730"|"44718301"
"Gravelly"|"152158220"|"44717451"
"Cobbly"|"152154569"|"44716350"
"Gravelly"|"152157226"|"44717124"
"Gravelly"|"152156017"|"44716719"
"Very stony"|"152158748"|"44717672"
"Cobbly"|"152153287"|"44715971"
"Very bouldery"|"152160761"|"44718313"
"Extremely gravelly"|"152160636"|"44718262"
"Very stony"|"152158124"|"44717409"
"Gravelly"|"152155550"|"44716580"
"Gravelly"|"152153569"|"44716103"
"Gravelly"|"152155360"|"44716540"
"Gravelly"|"152157934"|"44717339"
"Very cobbly"|"152154392"|"44716300"
"Gravelly"|"152158250"|"44717467"
"Very cobbly"|"152158387"|"44717516"
"Extremely gravelly"|"152157441"|"44717219"
"Cobbly"|"152155914"|"44716679"
"Gravelly"|"152157903"|"44717330"
"Gravelly"|"152157238"|"44717127"
"Gravelly"|"152160124"|"44718112"
"Very cobbly"|"152154421"|"44716317"
"Very stony"|"152161022"|"44718440"
"Gravelly"|"152157217"|"44717121"
"Very stony"|"152155049"|"44716471"
"Very cobbly"|"152155186"|"44716508"
"Very cobbly"|"152159200"|"44717874"
"Gravelly"|"152158251"|"44717468"
"Extremely cobbly"|"152155075"|"44716487"
"Extremely cobbly"|"152161026"|"44718444"
"Gravelly"|"152157470"|"44717228"
"Very cobbly"|"152158239"|"44717457"
"Gravelly"|"152159211"|"44717881"
"Very stony"|"152158240"|"44717458"
"Channery"|"152159583"|"44717972"
"Gravelly"|"152157259"|"44717132"
"Gravelly"|"152155888"|"44716666"
"Gravelly"|"152158145"|"44717419"
"Gravelly"|"152155518"|"44716565"
"Gravelly"|"152156014"|"44716717"
"Gravelly"|"152158398"|"44717524"
"Very cobbly"|"152155844"|"44716647"
"Gravelly"|"152157375"|"44717185"
"Very bouldery"|"152154379"|"44716288"
"Gravelly"|"152157813"|"44717317"
"Very cobbly"|"152158409"|"44717532"
"Very cobbly"|"152158372"|"44717509"
"Very cobbly"|"152158187"|"44717436"
"Extremely gravelly"|"152159592"|"44717979"
"Gravelly"|"152155507"|"44716563"
"Cobbly"|"152154390"|"44716298"
"Very cobbly"|"152154410"|"44716312"
"Gravelly"|"152160102"|"44718108"
"Very cobbly"|"152159226"|"44717890"
"Cobbly"|"152153220"|"44715956"
"Very cobbly"|"152157322"|"44717161"
"Gravelly"|"152161007"|"44718429"
"Very stony"|"152159237"|"44717896"
"Gravelly"|"152155201"|"44716511"
"Very stony"|"152160762"|"44718314"
"Very cobbly"|"152157430"|"44717214"
"Very cobbly"|"152154372"|"44716281"
"Gravelly"|"152156024"|"44716723"
"Gravelly"|"152158229"|"44717454"
"Gravelly"|"152158177"|"44717430"
"Cobbly"|"152154399"|"44716306"
"Very gravelly"|"152154515"|"44716329"
"Gravelly"|"152153444"|"44716066"
"Gravelly"|"152156029"|"44716726"
"Very gravelly"|"152155185"|"44716507"
"Extremely gravelly"|"152159581"|"44717971"
"Gravelly"|"152158155"|"44717424"
"Very stony"|"152159204"|"44717878"
"Gravelly"|"152154445"|"44716321"
"Gravelly"|"152157269"|"44717139"
"Gravelly"|"152157364"|"44717181"
"Gravelly"|"152158221"|"44717452"
"Gravelly"|"152158232"|"44717455"
"Gravelly"|"152158761"|"44717682"
"Extremely cobbly"|"152158751"|"44717675"
"Very cobbly"|"152153575"|"44716109"
"Cobbly"|"152156009"|"44716714"
"Very cobbly"|"152159199"|"44717873"
"Gravelly"|"152155364"|"44716541"
"Cobbly"|"152160639"|"44718265"
"Gravelly"|"152158439"|"44717537"
"Gravelly"|"152159574"|"44717968"
"Very cobbly"|"152158440"|"44717538"
"Gravelly"|"152160653"|"44718272"
"Gravelly"|"152157253"|"44717130"
"Cobbly"|"152157427"|"44717211"
"Gravelly"|"152156022"|"44716722"
"Gravelly"|"152155019"|"44716453"
"Gravelly"|"152157371"|"44717184"
"Very gravelly"|"152159579"|"44717969"
"Very bouldery"|"152158243"|"44717461"
"Gravelly"|"152157345"|"44717174"
"Gravelly"|"152155886"|"44716665"
"Gravelly"|"152160742"|"44718303"
"Very stony"|"152154378"|"44716287"
"Gravelly"|"152155010"|"44716451"
"Gravelly"|"152158173"|"44717429"
"Extremely gravelly"|"152159590"|"44717977"
"Gravelly"|"152155874"|"44716662"
