"CL"|No |"73894242"|"137060265"
"SC"|Yes|"73894242"|"137060266"
"SC"|Yes|"73894243"|"137060267"
"SC-SM"|No |"73894239"|"137060260"
"CL"|Yes|"73894239"|"137060261"
"SC-SM"|Yes|"73894241"|"137060264"
"CL"|Yes|"73894240"|"137060262"
"SC"|No |"73894240"|"137060263"
"ML"|No |"73894244"|"137060268"
"SM"|No |"73894244"|"137060269"
"GC-GM"|Yes|"73894244"|"137060270"
"SC"|No |"73894247"|"137060277"
"CL"|Yes|"73894247"|"137060278"
"SC"|No |"73894245"|"137060271"
"CL"|Yes|"73894245"|"137060272"
"SC"|No |"73894246"|"137060273"
"CL"|No |"73894246"|"137060274"
"GC"|No |"73894246"|"137060275"
"CH"|Yes|"73894246"|"137060276"
"SC-SM"|Yes|"73894250"|"137060281"
"ML"|Yes|"73894248"|"137060279"
"CL"|Yes|"73894249"|"137060280"
"SC-SM"|No |"73895281"|"137062327"
"SM"|Yes|"73895281"|"137062328"
"SM"|Yes|"73895283"|"137062329"
"GM"|Yes|"73895284"|"137062330"
"GC-GM"|No |"73895284"|"137062331"
"SM"|No |"73895284"|"137062332"
"SC-SM"|No |"73894264"|"137060304"
"SM"|Yes|"73894264"|"137060305"
"GM"|Yes|"73894267"|"137060307"
"GC-GM"|No |"73894267"|"137060308"
"SM"|No |"73894267"|"137060309"
"SM"|Yes|"73894266"|"137060306"
"ML"|No |"73895286"|"137062335"
"SC-SM"|No |"73895286"|"137062336"
"SM"|Yes|"73895286"|"137062337"
"CL-ML"|No |"73895286"|"137062338"
"SC-SM"|No |"73895285"|"137062333"
"SM"|Yes|"73895285"|"137062334"
"SC-SM"|No |"73895287"|"137062339"
"SM"|Yes|"73895287"|"137062340"
"SM"|Yes|"73895288"|"137062341"
"MH"|Yes|"73895289"|"137062342"
"ML"|No |"73895289"|"137062343"
"SM"|No |"73895289"|"137062344"
"MH"|No |"73894947"|"137061711"
"ML"|No |"73894947"|"137061712"
"SM"|Yes|"73894947"|"137061713"
"SM"|Yes|"73894946"|"137061710"
"MH"|No |"73895291"|"137062346"
"ML"|No |"73895291"|"137062347"
"SM"|Yes|"73895291"|"137062348"
"SM"|Yes|"73895290"|"137062345"
"SC"|Yes|"73894319"|"137060412"
"SM"|No |"73894319"|"137060413"
"SC-SM"|No |"73894321"|"137060416"
"SM"|Yes|"73894321"|"137060417"
"SM"|No |"73894320"|"137060414"
"SC-SM"|Yes|"73894320"|"137060415"
"SM"|Yes|"73894323"|"137060418"
"SC"|Yes|"73894324"|"137060419"
"SC-SM"|No |"73894327"|"137060420"
"SM"|Yes|"73894327"|"137060421"
"SM"|No |"73894328"|"137060422"
"SC"|Yes|"73894328"|"137060423"
"SC-SM"|No |"73894332"|"137060428"
"SC"|Yes|"73894332"|"137060429"
"SC-SM"|No |"73894331"|"137060426"
"SC"|Yes|"73894331"|"137060427"
