site,cs,yr,month,day,hour,tmin_open,tmax_open,tavg_open,rhmin_open,rhmax_open,rhavg_open,min_vp_open,max_vp_open,avg_vp_open,mean_wind,max_wind_speed,max_wind_time,mean_wind_vector,mean_wind_dir,std_dev_wind_dir,par,totalsolar
,21,2023,1,1,100,6.63,7.42,6.97,99.9,100,99.9,9.76,10.29,9.98,0.76,1.67,28,0.16,19.77,71.9,0,0
,21,2023,1,1,200,5.71,7.14,6.41,99.9,100,99.9,9.16,10.1,9.61,0.76,1.35,158,0.32,53.7,61.63,0,0
,21,2023,1,1,300,5.99,7.69,6.93,99.9,100,99.9,9.33,10.49,9.96,0.74,1.31,215,0.14,5.04,73,0,0
,21,2023,1,1,400,5.07,5.78,5.29,99.9,100,99.9,8.75,9.2,8.89,0.63,1.32,306,0.09,358.5,74.73,0,0.01
,21,2023,1,1,500,4.83,6.5,5.51,99.9,100.1,99.9,8.61,9.66,9.03,0.75,1.31,437,0.25,351.9,66.37,0,-0.01
,21,2023,1,1,600,4.86,5.78,5.14,99.9,100,99.9,8.63,9.2,8.8,0.65,1.2,534,0.26,318.6,62.35,0,-0.01
,21,2023,1,1,700,5.99,7.31,6.82,99.9,100,99.9,9.33,10.22,9.88,0.64,1.28,654,0.16,347.4,69.95,0,-0.01
,21,2023,1,1,800,4.86,7.01,5.55,99.9,100,99.9,8.62,10.01,9.06,0.84,1.49,714,0.31,351.7,64.63,3.18,0.14
,21,2023,1,1,900,5.1,6.87,6.06,99.9,100.1,99.9,8.77,9.91,9.38,0.55,1.39,806,0.23,2.31,61.74,70.01,3.32
,21,2023,1,1,1000,5.92,6.74,6.33,99.9,100,99.9,9.28,9.83,9.56,0.62,1.09,947,0.1,315.6,74.22,99,4.7
,21,2023,1,1,1100,6.46,8.57,7.55,99.9,100,99.9,9.64,11.15,10.39,0.59,1.21,1004,0.18,222.4,67.36,238.6,11.57
,21,2023,1,1,1200,8.3,9.38,8.86,99.9,100.1,99.9,10.94,11.76,11.36,0.63,1.27,1139,0.43,201.4,46.27,356.4,16.89
,21,2023,1,1,1300,9.52,12.3,10.92,97.7,100.1,99.8,11.87,13.98,13.04,0.73,1.27,1232,0.51,199.1,44.44,465.1,22.36
,21,2023,1,1,1400,12.37,15.19,13.71,61.2,96.9,84.6,10.53,14.36,13.22,0.87,1.71,1339,0.41,156.3,58.69,492.9,21.49
,21,2023,1,1,1500,15.02,16.21,15.56,55.7,77.05,63.21,9.93,13.49,11.16,1.71,3.88,1451,0.47,254.7,68.98,348.7,18.54
,21,2023,1,1,1600,15.42,15.97,15.66,56.31,67.6,60.24,9.99,11.94,10.71,1.65,2.85,1511,0.69,246,61.92,321.5,15.75
,21,2023,1,1,1700,13.63,15.83,15.1,56.92,69.98,62.45,10.14,11.72,10.7,0.88,2.17,1602,0.44,221.4,57.51,115.1,6.43
,21,2023,1,1,1800,11.76,13.63,12.84,67.13,76.93,71.14,10.18,10.85,10.52,0.62,1.17,1710,0.36,356.1,52.03,11.34,0.4
,21,2023,1,1,1900,10.68,12.03,11.33,74.14,81.5,77.99,10.23,10.66,10.45,0.46,0.95,1900,0.2,323.1,60.9,0,0.01
,21,2023,1,1,2000,10.27,11.22,10.67,76.9,82.9,80.1,9.96,10.54,10.28,0.48,0.99,1912,0.19,351.8,62.86,0,0.01
,21,2023,1,1,2100,9.86,10.75,10.26,78.3,84.3,81.6,9.86,10.44,10.19,0.42,0.92,2034,0.32,317.5,39.61,0,0
,21,2023,1,1,2200,9.12,10.68,9.64,79.25,86.5,84.2,9.94,10.24,10.09,0.39,0.77,2124,0.11,65.98,68.24,0,0
,21,2023,1,1,2300,8.91,9.86,9.29,83.5,87.8,86,9.92,10.25,10.06,0.36,0.61,2252,0.2,22.07,54.3,0,-0.01
,21,2023,1,1,2400,8.23,9.46,8.73,86.1,92,89.1,9.91,10.28,10.03,0.44,1.17,2354,0.23,66.95,56.44,0,0.01
,21,2023,1,2,100,7.89,8.37,8.15,90.4,93.2,91.7,9.79,10.06,9.93,0.42,0.85,46,0.24,24.27,53.67,0,-0.01
,21,2023,1,2,200,7.42,8.33,7.87,91,96.1,93.7,9.79,10.15,9.96,0.51,0.93,134,0.18,359.2,65.62,0,0
,21,2023,1,2,300,7.01,7.55,7.28,95.6,98.6,97.1,9.71,10.04,9.91,0.38,0.72,204,0.12,26.61,66.5,0,-0.01
,21,2023,1,2,400,6.7,7.42,7,97.2,99.2,98.4,9.64,10.15,9.85,0.35,0.79,303,0.01,253.6,80.3,0,-0.01
,21,2023,1,2,500,5.71,6.8,6.21,98.4,100,99.2,9.06,9.78,9.4,0.32,0.53,430,0.07,336.3,71.71,0,0
,21,2023,1,2,600,5.71,6.46,6.14,99.6,100,99.9,9.16,9.65,9.43,0.41,0.83,556,0.12,67.29,68.64,0,-0.01
,21,2023,1,2,700,4.56,5.92,5.29,99.6,100,99.9,8.44,9.29,8.89,0.63,1.4,624,0.13,23.95,71.95,0,-0.01
,21,2023,1,2,800,4.63,6.05,5.52,99.9,100.1,99.9,8.48,9.37,9.04,0.74,2.42,747,0.23,10.66,67.11,4.3,0.21
,21,2023,1,2,900,5.31,6.74,6,99.9,100,99.9,8.89,9.83,9.34,0.74,1.75,839,0.15,10.73,72.68,80.3,3.64
,21,2023,1,2,1000,5.99,7.28,6.58,99.9,100,99.9,9.33,10.2,9.72,0.66,1.43,959,0.06,13.9,77.19,167.5,7.94
,21,2023,1,2,1100,6.74,9.79,8.47,88,100.1,96.4,9.82,11.1,10.66,0.67,1.39,1019,0.36,173.5,54.8,308.3,15.73
,21,2023,1,2,1200,9.86,11.35,10.48,85.8,92.6,88.8,10.84,11.77,11.26,0.6,1.29,1110,0.37,195,50.65,280.8,12.72
,21,2023,1,2,1300,10.94,11.9,11.37,85,90.3,87.3,11.23,12.48,11.74,0.56,1.35,1216,0.26,201.8,58.99,246.3,11
,21,2023,1,2,1400,10.6,11.35,10.95,89.6,97.7,95.4,11.97,13.06,12.47,0.67,1.21,1355,0.25,206.3,63.78,228.2,10.54
,21,2023,1,2,1500,10.6,11.69,11.03,91.2,96.9,94.4,12.05,13.04,12.4,0.75,1.36,1426,0.45,217.4,51.22,191,8.81
,21,2023,1,2,1600,11.62,12.3,11.9,89.4,93.7,91.2,12.36,13.03,12.71,0.62,1.21,1546,0.17,172.1,69.03,141.6,6.47
,21,2023,1,2,1700,11.66,11.9,11.78,90.4,93.2,92.3,12.52,12.95,12.75,0.54,0.97,1633,0.05,24.67,77.12,49.18,2.17
,21,2023,1,2,1800,11.35,11.9,11.51,92.8,94.5,93.7,12.48,13.11,12.71,0.55,1.05,1714,0.08,18.66,75.22,8.78,0.4
,21,2023,1,2,1900,11.01,11.49,11.19,93.7,95.4,94.3,12.35,12.73,12.53,0.41,0.71,1855,0.11,342.5,68.91,0,0.02
,21,2023,1,2,2000,11.01,11.83,11.38,95.4,98.2,96.7,12.53,13.6,13,0.43,0.81,1915,0.08,358.9,73.53,0,0
,21,2023,1,2,2100,11.15,12,11.6,97.4,99.4,98.5,13.12,13.88,13.45,0.44,0.85,2100,0.1,48.83,71.53,0,0.01
