cs,yr,month,day,hour,tmin_open,tmax_open,tavg_open,rhmin_open,rhmax_open,rhavg_open,min_vp_open,max_vp_open,avg_vp_open,mean_wind,max_wind_speed,max_wind_time,mean_wind_vector,mean_wind_dir,std_dev_wind_dir,par,totalsolar
28,2022,1,1,100,13.81,14.21,14.05,98.7,100,99.4,15.74,16.07,15.92,1.36,2.17,43,1.16,351.9,31.07,0,0
28,2022,1,1,200,13.88,14.28,14.02,98.8,100,99.7,15.82,16.28,15.96,1.21,1.96,108,1.01,344.6,32.79,0,0
28,2022,1,1,300,14.28,14.89,14.57,95.6,98.9,97.1,15.93,16.24,16.09,1.36,2.73,232,0.55,200.8,62.65,0,0
28,2022,1,1,400,14.42,14.75,14.59,94.8,97.5,96.1,15.83,16.11,15.96,1.59,3.46,322,0.66,203.3,61.97,0,0
28,2022,1,1,500,14.35,14.75,14.56,94.2,97.1,95.8,15.69,16.01,15.87,1.44,2.6,455,0.31,248.9,71.87,0,0
28,2022,1,1,600,14.48,14.89,14.69,90.2,94.8,92.5,15.07,15.8,15.45,1.47,2.58,534,0.26,351.1,73.49,0,0
28,2022,1,1,700,14.28,14.96,14.57,84.6,92.4,89.6,14.32,15.26,14.85,1.67,2.82,639,0.81,2.04,58.2,0,0
28,2022,1,1,800,14.15,15.16,14.64,83.2,91.4,87.8,14.26,14.9,14.61,1.77,2.89,730,0.63,42.48,65.11,2.54,0
28,2022,1,1,900,14.62,15.23,15.01,84,89.3,86.7,14.36,15.38,14.78,1.61,2.76,846,0.29,90.5,73.38,52.03,4.13
28,2022,1,1,1000,15.16,16.38,15.68,80.4,89.5,85.5,14.77,15.96,15.23,1.97,4.53,912,1.22,180.8,49.78,144.3,9.73
28,2022,1,1,1100,15.97,16.72,16.31,77.29,84.8,81.3,14.48,15.7,15.06,2.49,4.5,1049,2.05,171.1,34.12,229.4,13.07
28,2022,1,1,1200,16.18,16.79,16.44,77.02,83.4,79.64,14.46,15.72,14.88,2.88,5.21,1152,2.32,170.9,35.67,200.6,10.81
28,2022,1,1,1300,16.38,17.19,16.68,76.82,81.5,79.2,14.5,15.91,15.03,3.92,7.76,1215,3.52,172.9,25.86,278.6,14.83
28,2022,1,1,1400,16.38,17.33,16.9,76.41,84.6,80.5,15.03,16.25,15.48,2.8,4.49,1352,2.1,178.4,40.65,224.9,13.85
28,2022,1,1,1500,15.43,16.72,15.96,80.3,91.5,86.9,15.14,16.28,15.75,2.87,4.71,1406,2.24,175.9,37.85,133.7,7.27
28,2022,1,1,1600,15.03,15.84,15.54,85.5,92.6,88.9,15.37,15.98,15.68,3.29,6.58,1518,2.41,178.8,41.92,96.3,5.99
28,2022,1,1,1700,15.63,16.04,15.8,83.8,88.7,85.8,15.09,15.81,15.4,2.78,5.46,1654,1.91,180.2,45.5,47.87,1.97
28,2022,1,1,1800,15.63,16.04,15.81,82.8,87.1,85.3,15.05,15.58,15.3,5,8.39,1753,4.75,173.5,17.96,5.52,0
28,2022,1,1,1900,14.96,15.97,15.42,85.2,95.9,90.7,15.27,16.44,15.87,4.57,6.76,1801,4.29,173.3,20.15,0,0
28,2022,1,1,2000,14.75,15.23,15.04,94.8,98.6,97,16.31,16.83,16.57,3.99,6.38,1936,3.52,171.2,27.7,0,0
28,2022,1,1,2100,15.03,15.36,15.18,95.4,98.3,97.2,16.62,16.88,16.75,4.25,6.15,2020,3.81,173,25.94,0,0
28,2022,1,1,2200,14.89,15.23,15.04,96.3,98.9,97.8,16.46,16.84,16.72,4.68,6.63,2153,4.19,172.1,26.23,0,0
28,2022,1,1,2300,14.82,15.09,14.98,96.2,98.8,97.3,16.45,16.7,16.56,5.18,7.42,2255,4.4,174.9,31.39,0,0
28,2022,1,1,2400,14.89,15.5,15.09,91.8,97.3,95,15.99,16.6,16.28,5.12,7.92,2307,4.58,173.5,26.45,0,0
28,2022,1,2,100,14.82,15.3,15.05,93.2,97.6,95.8,16.06,16.66,16.37,5.29,7.39,100,4.96,163.8,20.19,0,0
28,2022,1,2,200,15.23,15.57,15.39,93.5,95.9,94.6,16.38,16.68,16.53,5.66,8.22,101,5.11,178.4,25.15,0,0
28,2022,1,2,300,14.96,15.5,15.23,94.3,99.2,96.5,16.53,16.96,16.69,3.98,6.27,215,3.32,171.2,32.88,0,0
28,2022,1,2,400,13.27,14.89,13.88,92.4,99.8,96.7,14.82,16.8,15.32,1.95,4.78,307,0.36,29.94,73.18,0,0
28,2022,1,2,500,12.72,13.33,12.97,96.7,100,98.5,14.23,15.04,14.72,1.41,2.97,445,0.31,349.1,71.59,0,0
28,2022,1,2,600,11.51,12.72,12.11,94.5,99.5,97.3,13.15,14.33,13.74,1.35,3.37,507,0.56,5.87,61.97,0,0
28,2022,1,2,700,11.24,11.57,11.42,92.4,99.6,95.4,12.57,13.51,12.86,0.95,2.3,621,0.42,352.5,60.21,0,0
28,2022,1,2,800,11.24,11.78,11.46,86.5,95.8,92.2,11.82,12.89,12.48,1,2.04,714,0.42,340.7,61.8,0.97,0
28,2022,1,2,900,11.51,11.98,11.71,65.86,88.7,80.1,9.18,12.14,11.01,0.94,1.87,854,0.57,341.4,50.4,32.75,2.16
28,2022,1,2,1000,11.38,12.66,11.89,60.85,80.7,68.51,8.75,10.9,9.53,1.02,2.28,952,0.47,328.1,59.26,86.1,5.31
28,2022,1,2,1100,11.84,12.8,12.38,63.89,80.3,71.35,9.1,11.41,10.25,0.94,1.68,1059,0.43,270.7,59.6,113.3,7.37
28,2022,1,2,1200,10.76,11.91,11.33,72.15,90.8,82.8,10.05,11.78,11.09,1.77,2.74,1155,1.52,235.8,30.4,64.95,5.11
28,2022,1,2,1300,10.83,11.37,11.06,83,92.7,88,11.08,12.03,11.59,1.75,2.62,1215,1.61,252,22.91,80.1,5.89
28,2022,1,2,1400,10.49,11.04,10.68,80.9,91.5,87.4,10.4,11.86,11.23,1.54,3.37,1312,1.28,251.4,33.49,57.26,4.42
28,2022,1,2,1500,10.5,11.24,10.99,72.49,89.6,83.4,9.58,11.78,10.94,1.09,1.89,1454,0.79,262.7,42.73,72.13,4.91
28,2022,1,2,1600,10.76,11.3,11.03,86,95.6,92.9,11.3,12.73,12.21,0.92,1.51,1515,0.49,65.42,55.66,125.4,7.86
28,2022,1,2,1700,10.69,11.24,10.99,94.4,99.6,97.1,12.49,13,12.73,0.81,1.37,1659,0.64,65.9,37.31,43.26,2.55
28,2022,1,2,1800,10.09,10.76,10.37,99.4,100,99.9,12.35,12.87,12.57,1.17,1.68,1715,1.07,30.13,23.08,5.92,0
28,2022,1,2,1900,9.55,10.15,9.73,96.3,100,98.8,11.46,12.4,11.91,0.76,1.36,1849,0.65,347.2,30.64,0,0
28,2022,1,2,2000,9.62,9.96,9.7,94.2,96.3,95.3,11.39,11.62,11.47,1.15,1.81,1934,1.09,359.8,18.17,0,0
28,2022,1,2,2100,9.56,9.9,9.66,94,97.3,95.4,11.3,11.75,11.45,0.54,1.32,2017,0.13,53.16,70.23,0,0
28,2022,1,2,2200,9.29,9.63,9.44,95.9,100,98.8,11.42,11.81,11.68,0.93,2.72,2157,0.17,71.43,73.42,0,0
28,2022,1,2,2300,8.75,9.49,9.11,94.8,100,98.8,10.79,11.87,11.42,2.93,5.02,2236,2.49,182,31.34,0,0
28,2022,1,2,2400,8.34,8.88,8.58,96.1,100,98.4,10.79,11.14,10.96,1.64,3.7,2304,0.62,149.3,63.9,0,0
28,2022,1,3,100,8.48,8.61,8.51,100,100,100,11.08,11.18,11.11,1.07,1.8,6,0.43,158.7,62.86,0,0
28,2022,1,3,200,6.92,8.48,7.85,100,100,100,9.96,11.08,10.62,1.99,3.6,154,1.89,30.09,18.05,0,0
28,2022,1,3,300,4.14,6.92,5.63,99,100,100,8.13,9.96,9.12,3.45,5.95,240,3.27,12.93,18.34,0,0
28,2022,1,3,400,1.57,3.94,2.76,97.6,99.5,98.6,6.72,7.98,7.35,4.06,5.43,318,3.89,14.85,16.62,0,0
28,2022,1,3,500,-0.05,1.5,0.47,97.4,100,99.3,6.09,6.67,6.28,3.29,5.74,411,3.06,13.31,21.16,0,0
28,2022,1,3,600,-0.72,-0.05,-0.26,100,100,100,5.8,6.09,6,0.66,3.28,508,0.61,3.1,22.7,0,0
28,2022,1,3,700,-1.87,-0.72,-1.26,100,100,100,5.33,5.8,5.58,0.28,0.28,601,0.26,19.84,22.49,0.11,0
28,2022,1,3,800,-3.5,-1.94,-2.78,95.4,100,98.5,4.51,5.3,4.91,0.28,0.28,701,0.26,14.07,20.38,2.25,0
28,2022,1,3,900,-3.76,-3.43,-3.62,94.7,97.7,96.3,4.39,4.64,4.5,0.28,0.28,801,0.26,17.46,23.16,32.45,3.05
28,2022,1,3,1000,-3.83,-3.02,-3.6,94.5,99.2,96.6,4.37,4.78,4.53,0.28,0.28,901,0.21,36.09,39.49,89.3,10.03
28,2022,1,3,1100,-3.49,-2.41,-2.87,90.9,96.2,94.1,4.44,4.84,4.65,0.28,0.28,1001,0.26,20.79,24.38,281.9,19.86
28,2022,1,3,1200,-2.62,-2.07,-2.4,85.7,92.1,88.8,4.42,4.74,4.55,0.28,0.28,1101,0.27,7.54,14.4,505.8,39.22
28,2022,1,3,1300,-2.28,-1.94,-2.15,80.1,89.3,85.1,4.18,4.71,4.44,0.28,0.28,1201,0.28,8.29,11.16,497.6,45.9
28,2022,1,3,1400,-2.14,-1.53,-1.88,74.29,82.1,78.57,4.01,4.39,4.18,0.28,0.28,1301,0.24,1.85,29.29,278,39.91
